# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: Washington M
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            505.6         0.897         0.758              0.742         0.750
            506.0         0.897         0.758              0.743         0.750
            506.4         0.896         0.757              0.743         0.750
            506.8         0.898         0.758              0.744         0.751
            507.2         0.898         0.758              0.745         0.752
            507.6         0.897         0.757              0.745         0.751
            508.0         0.897         0.757              0.746         0.751
            508.4         0.897         0.757              0.747         0.752
            508.8         0.897         0.757              0.747         0.752
            509.2         0.897         0.757              0.747         0.752
            509.6         0.898         0.757              0.749         0.753
            510.0         0.897         0.757              0.749         0.753
            510.4         0.896         0.756              0.749         0.753
            510.8         0.897         0.757              0.750         0.754
            511.2         0.896         0.756              0.750         0.753
            511.6         0.896         0.756              0.751         0.753
            512.0         0.896         0.756              0.752         0.754
            512.4         0.896         0.755              0.752         0.753
            512.8         0.896         0.755              0.752         0.754
            513.2         0.896         0.755              0.753         0.754
            513.6         0.895         0.754              0.753         0.754
            514.0         0.895         0.754              0.753         0.753
            514.4         0.894         0.753              0.754         0.754
            514.8         0.895         0.754              0.755         0.754
            515.2         0.894         0.753              0.754         0.754
            515.6         0.893         0.752              0.755         0.753
            516.0         0.893         0.752              0.755         0.753
            516.4         0.893         0.752              0.755         0.754
            516.8         0.893         0.751              0.756         0.754
            517.2         0.892         0.751              0.756         0.754
            517.6         0.891         0.750              0.756         0.753
            518.0         0.890         0.749              0.756         0.753
            518.4         0.890         0.749              0.756         0.752
            518.8         0.890         0.749              0.757         0.753
            519.2         0.888         0.748              0.756         0.752
            519.6         0.888         0.748              0.757         0.752
            520.0         0.887         0.747              0.756         0.752
            520.4         0.887         0.747              0.757         0.752
            520.8         0.886         0.746              0.756         0.751
            521.2         0.886         0.746              0.757         0.752
            521.6         0.885         0.746              0.757         0.751
            522.0         0.884         0.745              0.757         0.751
            522.4         0.883         0.744              0.757         0.751
            522.8         0.882         0.744              0.757         0.750
            523.2         0.882         0.743              0.757         0.750
            523.6         0.880         0.742              0.756         0.749
            524.0         0.879         0.741              0.756         0.749
            524.4         0.878         0.740              0.755         0.748
            524.8         0.877         0.739              0.755         0.747
            525.2         0.877         0.739              0.755         0.747
            525.6         0.876         0.739              0.755         0.747
            526.0         0.875         0.738              0.755         0.746
            526.4         0.874         0.737              0.755         0.746
            526.8         0.872         0.736              0.754         0.745
            527.2         0.871         0.735              0.754         0.745
            527.6         0.870         0.734              0.753         0.744
            528.0         0.867         0.732              0.752         0.742
            528.4         0.868         0.732              0.752         0.742
            528.8         0.866         0.731              0.752         0.741
            529.2         0.865         0.730              0.752         0.741
            529.6         0.864         0.729              0.751         0.740
            530.0         0.862         0.728              0.750         0.739
            530.4         0.861         0.727              0.749         0.738
            530.8         0.859         0.725              0.748         0.737
            531.2         0.858         0.725              0.748         0.737
            531.6         0.856         0.723              0.747         0.735
            532.0         0.854         0.722              0.746         0.734
            532.4         0.853         0.720              0.745         0.733
            532.8         0.851         0.719              0.744         0.732
            533.2         0.849         0.717              0.743         0.730
            533.6         0.848         0.716              0.743         0.729
            534.0         0.846         0.715              0.742         0.729
            534.4         0.844         0.714              0.741         0.728
            534.8         0.842         0.712              0.740         0.726
            535.2         0.840         0.710              0.738         0.724
            535.6         0.839         0.709              0.738         0.724
            536.0         0.837         0.708              0.737         0.722
            536.4         0.835         0.706              0.736         0.721
            536.8         0.832         0.704              0.734         0.719
            537.2         0.830         0.702              0.732         0.717
            537.6         0.828         0.701              0.731         0.716
            538.0         0.826         0.699              0.730         0.714
            538.4         0.823         0.697              0.728         0.712
            538.8         0.822         0.695              0.727         0.711
            539.2         0.819         0.693              0.726         0.710
            539.6         0.816         0.691              0.724         0.707
            540.0         0.814         0.689              0.722         0.705
            540.4         0.812         0.688              0.722         0.705
            540.8         0.809         0.685              0.719         0.702
            541.2         0.807         0.683              0.718         0.701
            541.6         0.805         0.682              0.717         0.699
            542.0         0.802         0.679              0.715         0.697
            542.4         0.799         0.677              0.713         0.695
            542.8         0.797         0.675              0.711         0.693
            543.2         0.794         0.672              0.709         0.690
            543.6         0.791         0.670              0.707         0.689
            544.0         0.788         0.668              0.705         0.686
            544.4         0.785         0.665              0.703         0.684
            544.8         0.783         0.663              0.701         0.682
            545.2         0.779         0.660              0.699         0.679
